PDB,CDB,Oracle_Home,Compartment_Name,CDB_ID,Compartment_ID
PDB_FAKE_1,CDB_FAKE_1,dbhome20240506133916,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxjjkdrxzrvvcqylx2t2mnxnrbpurviqxvmalhl6fql2na,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_2,CDB_FAKE_2,dbhome-202407311402,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxsl2o5fe4afm36v74kahdkmrd2vo5yamcg4tqfxbuxyyq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_3,CDB_FAKE_3,dbhome20240820054349,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxffelqzqvqmc6yllrvnrv2k344e7hxeemojybzp6wbwhq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_4,CDB_FAKE_4,dbhome-23_4,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxprlsiqc7o4acgx6kaj5lrxarp7dktexqmkk2nz7422ma,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_5,dbhome-23-6,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxeo6qb5qwpfxz6bmbvjwcsbbpnkbhq332zdndxhclfu7a,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_6,CDB_FAKE_6,dbhome20240718091054,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxjyg3w422bur3hrzy2meibflp6vow7zlsfqey6jf6eida,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_7,CDB_FAKE_5,dbhome-23-6,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxeo6qb5qwpfxz6bmbvjwcsbbpnkbhq332zdndxhclfu7a,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_8,CDB_FAKE_7,dbhome20240827100913,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxai4tpu2cy74m455ujtphbffrcvvbr2ez5otfg6jfva2q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_9,CDB_FAKE_8,dbhome20241120192009,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxu5z737kftmuvrz6y52c2qkdkyddkg45koz6ezq5ubczq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_10,CDB_FAKE_9,dbhome-23-6,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.xxxxxxxxxxxxxxxxpfiaxn5rxtfvbcvtdip26h5bdhgxqttkd6t2splagudq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
